GRP,ITEMID,ITEMDESC,wmcode,STKTYP,CUST,REGION,ORDERNO,DUEDATE,QTY,STS,Desc3,SubRegion,LotID,BestBefore,ProjID,STKPROJ,OldDesc,ItemOrder1,ItemOrder2,WH_ID,ClipBd,WHName,WHRegion,Carrier,UCat,IGroup,ArrivalDT,TotalWeight,WhseID,StockID,AverageCost,Amount,first_date,latest_date
Barrel Racks,JF2266,Barrel Master Puncheon Hot Dip Type A Rolling,SA013,Stock on Hand,ZZZ Stock on Hand,,,NULL,16,,BM_PN_HDG_TYPA,,R1452,NULL,,,,0,0,-1,Barrel Masters,Filmers Warehouse,SA        ,,Wine,40,18/01/2023 0:00,768,76,2235,844.5076455,13512.12233,18/01/2023 0:00,22/07/2025 0:00
Barrel Racks,JF2328,Puncheon Rack,SA013,Stock on Hand,ZZZ Stock on Hand,,,NULL,10,,BR_PN_SH,,P14581,NULL,,,,0,0,-1,Racks,Filmers Warehouse,SA        ,,Wine,40,7/10/2022 0:00,0,76,2266,347.99,3479.9,7/10/2022 0:00,11/02/2025 0:00
Barrel Racks,R1000,Standard Barrique Cradle (B size),SA013,Stock on Hand,ZZZ Stock on Hand,,,NULL,134,,,,P13836,NULL,,,,0,0,-1,Racks,Filmers Warehouse,SA        ,,Wine,40,NULL,4690,76,5082,50,6700,22/02/2022 0:00,27/03/2024 0:00
Barrel Racks,R1000,Standard Barrique Cradle (B size),SA013,Stock on Hand,ZZZ Stock on Hand,,,NULL,41,,,,P13101,NULL,,,,0,0,-1,Racks,Filmers Warehouse,SA        ,,Wine,40,20/02/2020 0:00,1435,76,5082,50,2050,20/02/2020 0:00,23/05/2025 0:00
Barrel Racks,R1000,Standard Barrique Cradle (B size),SA013,Stock on Hand,ZZZ Stock on Hand,,,NULL,2,,,,P12496,NULL,,,,0,0,-1,Racks,Filmers Warehouse,SA        ,,Wine,40,8/06/2019 0:00,70,76,5082,50,100,8/06/2019 0:00,14/02/2024 0:00
Barrel Racks,R1001,Standard Universal Cradle (U size),SA013,Stock on Hand,ZZZ Stock on Hand,,,NULL,42,,,,P13131,NULL,,,,0,0,-1,Racks,Filmers Warehouse,SA        ,,Wine,40,3/04/2020 0:00,1596,76,5083,50,2100,3/04/2020 0:00,28/02/2025 0:00
Barrel Racks,R1002,Standard Hogshead Cradle (H size),SA013,Stock on Hand,ZZZ Stock on Hand,,,NULL,167,,,,P13100,NULL,,,,0,0,-1,Racks,Filmers Warehouse,SA        ,,Wine,40,31/01/2020 0:00,6680,76,5084,50,8350,31/01/2020 0:00,27/05/2025 0:00
Barrel Racks,R1003,Puncheon Cradle (P size),WA001,Stock on Hand,ZZZ Stock on Hand,,,NULL,19,,,,P15101,NULL,,,,0,0,-1,Racks,GJ Freight Ltd - Donnybrook,WA        ,,Wine,40,8/09/2023 0:00,798,8,5085,187.9169969,3570.422941,8/09/2023 0:00,18/03/2025 0:00
Barrel Racks,R1003,Puncheon Cradle (P size),SA013,Stock on Hand,ZZZ Stock on Hand,,,NULL,49,,,,P15176,NULL,,,,0,0,-1,Racks,Filmers Warehouse,SA        ,,Wine,40,8/09/2023 0:00,2058,76,5085,187.8238827,9203.37025,8/09/2023 0:00,3/09/2025 0:00
Barrel Racks,R1010,Barrel Turning Tool - Stainless Steel,MEL01,Stock on Hand,ZZZ Stock on Hand,,,NULL,3,,,,P13100,NULL,,,,0,0,-1,Racks,Melbourne Warehouse,VIC       ,,Wine,40,31/01/2020 0:00,3,19,8279,NULL,NULL,31/01/2020 0:00,18/02/2025 0:00
Bottles,8864,Stoppers Low Top for 18.2mm Vinolok,VIC01,Stock on Hand,ZZZ Stock on Hand,,,NULL,3360,,,,P13903A/7500009549,NULL,,,,1500,0,-1,Cork & Caps,Asons - Melbourne,VIC       ,,Wine,77,24/08/2021 0:00,33.6,10,9431,0.53926589,1811.93339,24/08/2021 0:00,23/01/2024 0:00
Bottles,8890,CARTON A with dividers for 1.5L Burg bottles,SA021,Stock on Hand,ZZZ Stock on Hand,,,NULL,70,,Max diam: 113 mm / Max height: 357 mm,,P15465,NULL,,,,2000,0,-1,Other,JAGS Transport & Haulage,SA        ,,Wine,77,15/02/2024 0:00,140,85,3939,3.218077659,225.2654361,15/02/2024 0:00,29/08/2025 0:00
Bottles,8891,CARTON B with dividers and inserts 1.5 Brd & Ries,SA021,Stock on Hand,ZZZ Stock on Hand,,,NULL,48,,Max diam: 98 mm / Max height: 492 mm,,P15465,NULL,,,,2000,0,-1,Other,JAGS Transport & Haulage,SA        ,,Wine,77,15/02/2024 0:00,96,85,3940,4.74,227.52,15/02/2024 0:00,28/08/2025 0:00
Bottles,8892,CARTON C with dividers and inserts 1.5L wide & 3L,SA021,Stock on Hand,ZZZ Stock on Hand,,,NULL,7,,Max diam: 138 mm / Max height: 480 mm,,P15136,NULL,,,,2000,0,-1,Other,JAGS Transport & Haulage,SA        ,,Wine,77,31/05/2023 0:00,14,85,3941,4.597813243,32.1846927,31/05/2023 0:00,26/08/2025 0:00
Bottles,8893,CARTON D with dividers for 5L & 6 L bottles,SA021,Stock on Hand,ZZZ Stock on Hand,,,NULL,1,,Max diam: 189 mm / Max height: 585 mm,,P14574,NULL,,,,2000,0,-1,Other,JAGS Transport & Haulage,SA        ,,Wine,77,14/07/2022 0:00,2.5,85,3942,11.19833924,11.19833924,14/07/2022 0:00,26/08/2025 0:00
Bottles,8894,CARTON E Trial 6 pack with dividers,SA021,Stock on Hand,ZZZ Stock on Hand,,,NULL,330,,,,P15889,NULL,,,,2000,0,-1,Other,JAGS Transport & Haulage,SA        ,,Wine,77,18/06/2025 0:00,330,85,4039,2.215572233,731.1388368,18/06/2025 0:00,21/08/2025 0:00
Bottles,FU-010016CTN6,Burg Prestige Cork 1.5L Antique Green VE CARTON6,SA021,Stock on Hand,ZZZ Stock on Hand,,,NULL,44,,,,P15147/116501/15,NULL,,,,600,0,-1,1.5L,JAGS Transport & Haulage,SA        ,,Wine,77,NULL,224.4,85,3794,27.56,1212.64,22/07/2025 0:00,25/07/2025 0:00
Bottles,FU-010973-315,Burg Prestige Cork 1.5L Extra Flint,SA021,Stock on Hand,ZZZ Stock on Hand,,,NULL,315,,,,P15847/3323,NULL,,,,600,0,-1,1.5L,JAGS Transport & Haulage,SA        ,,Wine,77,31/07/2025 0:00,267.75,85,9357,3.361301587,1058.81,31/07/2025 0:00,31/07/2025 0:00
Bottles,FU-010973-315,Burg Prestige Cork 1.5L Extra Flint,SA021,Stock on Hand,ZZZ Stock on Hand,,,NULL,315,,,,P15847/3322,NULL,,,,600,0,-1,1.5L,JAGS Transport & Haulage,SA        ,,Wine,77,31/07/2025 0:00,267.75,85,9357,3.361301587,1058.81,31/07/2025 0:00,31/07/2025 0:00
Bottles,FU-011553-960,Bord Storica Cork 500mL Antique Green VE,SA015,Stock on Hand,ZZZ Stock on Hand,,,NULL,960,,,,P15147/009301/2,NULL,,,,200,0,-1,Un750ml,WSL - Edinburgh Park,SA        ,,Wine,77,16/01/2024 0:00,480,78,5094,1.830397917,1757.182,16/01/2024 0:00,26/02/2024 0:00
Bottles,FU-011553-960,Bord Storica Cork 500mL Antique Green VE,SA015,Stock on Hand,ZZZ Stock on Hand,,,NULL,960,,,,P15147/009301/3,NULL,,,,200,0,-1,Un750ml,WSL - Edinburgh Park,SA        ,,Wine,77,16/01/2024 0:00,480,78,5094,1.830397917,1757.182,16/01/2024 0:00,26/02/2024 0:00
Bottles,FU-011553-960,Bord Storica Cork 500mL Antique Green VE,SA015,Stock on Hand,ZZZ Stock on Hand,,,NULL,960,,,,P15147/009301/4,NULL,,,,200,0,-1,Un750ml,WSL - Edinburgh Park,SA        ,,Wine,77,16/01/2024 0:00,480,78,5094,1.830397917,1757.182,16/01/2024 0:00,26/02/2024 0:00
Bottles,FU-011553-960,Bord Storica Cork 500mL Antique Green VE,SA021,Stock on Hand,ZZZ Stock on Hand,,,NULL,960,,,,P15847/49,NULL,,,,200,0,-1,Un750ml,JAGS Transport & Haulage,SA        ,,Wine,77,31/07/2025 0:00,480,85,5094,1.5358125,1474.38,31/07/2025 0:00,31/07/2025 0:00
Bottles,FU-011553-960,Bord Storica Cork 500mL Antique Green VE,SA021,Stock on Hand,ZZZ Stock on Hand,,,NULL,960,,,,P15847/51,NULL,,,,200,0,-1,Un750ml,JAGS Transport & Haulage,SA        ,,Wine,77,31/07/2025 0:00,480,85,5094,1.5358125,1474.38,31/07/2025 0:00,31/07/2025 0:00
Bottles,FU-012971-144,Champagne Medea 3L Antique Green VE,SA021,Stock on Hand,ZZZ Stock on Hand,,,NULL,144,,,,P12201/ 090002,NULL,,,,950,0,-1,3L,JAGS Transport & Haulage,SA        ,,Wine,77,14/03/2018 0:00,424.8,85,3967,13.44203056,1935.6524,14/03/2018 0:00,15/04/2025 0:00
Bottles,FU-012971CTN6,Champagne Medea 3L Antique Green VE CARTON6,MEL01,Stock on Hand,ZZZ Stock on Hand,,,NULL,1,,,,P12201/040001,NULL,,,,950,0,-1,3L,Melbourne Warehouse,VIC       ,,Wine,77,NULL,20,19,3968,NULL,NULL,24/09/2018 0:00,17/04/2025 0:00
Bottles,FU-013104CTN6,Bord Storica Cork 6L Antique Green VE CARTON6,SA021,Stock on Hand,ZZZ Stock on Hand,,,NULL,11,,,,P15147/123502-15,NULL,,,,1050,0,-1,Large Format,JAGS Transport & Haulage,SA        ,,Wine,77,NULL,194.7,85,3778,223.98,2463.78,13/05/2025 0:00,12/08/2025 0:00
Bottles,FU-013109,Bord Storica Cork 3L Antique Green VE,MEL01,Stock on Hand,ZZZ Stock on Hand,,,NULL,3,,,,P11616,NULL,,,,850,0,-1,3L,Melbourne Warehouse,VIC       ,,Wine,77,NULL,5.25,19,3976,NULL,NULL,16/05/2024 0:00,16/05/2024 0:00
Bottles,FU-013109-126,Bord Storica Cork 3L Antique Green VE,SA021,Stock on Hand,ZZZ Stock on Hand,,,NULL,126,,,,P14870/227601-33,NULL,,,,850,0,-1,3L,JAGS Transport & Haulage,SA        ,,Wine,77,15/05/2023 0:00,220.5,85,3884,14.18380952,1787.16,15/05/2023 0:00,15/04/2025 0:00
Bottles,FU-013109-189,Bord Storica Cork 3L Antique Green VE,SA021,Stock on Hand,ZZZ Stock on Hand,,,NULL,189,,,,P14870/227601-34,NULL,,,,850,0,-1,3L,JAGS Transport & Haulage,SA        ,,Wine,77,15/05/2023 0:00,330.75,85,10687,13.35587302,2524.26,15/05/2023 0:00,15/04/2025 0:00
Bottles,FU-013109CTN6,Bord Storica Cork 3L Antique Green VE CARTON6,SA021,Stock on Hand,ZZZ Stock on Hand,,,NULL,8,,,,P11616/131-090603,NULL,,,,850,0,-1,3L,JAGS Transport & Haulage,SA        ,,Wine,77,NULL,96,85,3923,48.28,386.24,24/09/2018 0:00,15/04/2025 0:00
Bottles,FU-013314CTN6,Burg Supreme Cork 1.5L Antique Green VE CARTON6,MEL01,Stock on Hand,ZZZ Stock on Hand,,,NULL,1,,,,P11647,NULL,,,,600,0,-1,1.5L,Melbourne Warehouse,VIC       ,,Wine,77,NULL,6,19,5063,NULL,NULL,16/05/2024 0:00,16/05/2024 0:00
Bottles,FU-014336-258,Bord Golia Cork 3L Antique Green VE,SA021,Stock on Hand,ZZZ Stock on Hand,,,NULL,258,,,,P14479/157401-20,NULL,,,,850,0,-1,3L,JAGS Transport & Haulage,SA        ,,Wine,77,30/04/2022 0:00,451.5,85,9501,6.895,1778.91,30/04/2022 0:00,15/04/2025 0:00
Bottles,FU-014336-258,Bord Golia Cork 3L Antique Green VE,SA021,Stock on Hand,ZZZ Stock on Hand,,,NULL,258,,,,P14479/157402-46,NULL,,,,850,0,-1,3L,JAGS Transport & Haulage,SA        ,,Wine,77,30/04/2022 0:00,451.5,85,9501,6.895,1778.91,30/04/2022 0:00,15/04/2025 0:00
Bottles,FU-014336-258,Bord Golia Cork 3L Antique Green VE,SA021,Stock on Hand,ZZZ Stock on Hand,,,NULL,258,,,,P14479/157402-48,NULL,,,,850,0,-1,3L,JAGS Transport & Haulage,SA        ,,Wine,77,30/04/2022 0:00,451.5,85,9501,6.895,1778.91,30/04/2022 0:00,15/04/2025 0:00
Bottles,FU-014336CTN6,Bord Golia Cork 3L Antique Green VE CARTON6,MEL01,Stock on Hand,ZZZ Stock on Hand,,,NULL,1,,,,P11553/046601,NULL,,,,850,0,-1,3L,Melbourne Warehouse,VIC       ,,Wine,77,NULL,10.5,19,3826,34.17,34.17,24/02/2017 0:00,30/04/2025 0:00
Bottles,FU-014336CTN6,Bord Golia Cork 3L Antique Green VE CARTON6,SA021,Stock on Hand,ZZZ Stock on Hand,,,NULL,6,,,,P14479/157401-11,NULL,,,,850,0,-1,3L,JAGS Transport & Haulage,SA        ,,Wine,77,NULL,63,85,3826,48.08,288.48,22/04/2024 0:00,5/08/2025 0:00
Bottles,FU-014337,Bord Golia Cork 5L Antique Green VE,MEL01,Stock on Hand,ZZZ Stock on Hand,,,NULL,2,,,,P11553/040102,NULL,,,,1000,0,-1,Large Format,Melbourne Warehouse,VIC       ,,Wine,77,NULL,5.9,19,3810,7.62,15.24,24/02/2017 0:00,7/03/2024 0:00
Bottles,FU-014337-96,Bord Golia Cork 5L Antique Green VE,SA021,Stock on Hand,ZZZ Stock on Hand,,,NULL,96,,,,P12217/155202-132,NULL,,,,1000,0,-1,Large Format,JAGS Transport & Haulage,SA        ,,Wine,77,30/03/2018 0:00,283.2,85,3763,8.093602778,776.9858667,30/03/2018 0:00,15/04/2025 0:00
Bottles,FU-014337-96,Bord Golia Cork 5L Antique Green VE,SA021,Stock on Hand,ZZZ Stock on Hand,,,NULL,96,,,,P12217/155202-143,NULL,,,,1000,0,-1,Large Format,JAGS Transport & Haulage,SA        ,,Wine,77,30/03/2018 0:00,283.2,85,3763,8.093602778,776.9858667,30/03/2018 0:00,15/04/2025 0:00
Bottles,FU-014337-96,Bord Golia Cork 5L Antique Green VE,SA021,Stock on Hand,ZZZ Stock on Hand,,,NULL,96,,,,P12217/126,NULL,,,,1000,0,-1,Large Format,JAGS Transport & Haulage,SA        ,,Wine,77,NULL,283.2,85,3763,8.093602778,776.9858667,7/04/2025 0:00,15/04/2025 0:00
Bottles,FU-014337CTN6,Bord Golia Cork 5L Antique Green VE CARTON6,SA021,Stock on Hand,ZZZ Stock on Hand,,,NULL,10,,,,P12201/155202-131,NULL,,,,1000,0,-1,Large Format,JAGS Transport & Haulage,SA        ,,Wine,77,NULL,177,85,3809,61.03,610.3,20/04/2021 0:00,15/04/2025 0:00
Bottles,FU-015013CTN6,Bord Antica BVS 1.5L Antique Green VE CARTON6,SA021,Stock on Hand,ZZZ Stock on Hand,,,NULL,52,,,,P14870/030401-1005,NULL,,,,650,0,-1,1.5L,JAGS Transport & Haulage,SA        ,,Wine,77,NULL,265.2,85,3786,23.7,1232.4,28/07/2025 0:00,28/07/2025 0:00
