GRP,ITEMID,ITEMDESC,wmcode,Desc3,LotID,BestBefore,OldDesc,ItemOrder1,ItemOrder2,WH_ID,ClipBd,WH_Name,WHRegion,UCat,IGroup,QtyOnHand,QtyOnPO,QtyOnSO,NetAvailable,ArrivalDT,TotalWeightOnHand,TotalWeightOnPO,TotalWeightOnSO,AverageCost,AmountOnHand,first_date,latest_date,Company
Barrel Racks,JF2263,Barrel Master Puncheon Pre Galv Type A Rolling,IND02,BM_PN_PG_TYPA,NULL,NULL,,0,0,-1,Barrel Masters,AUS Indent Orders,IND,Wine,40,0,0,-1,-1,NULL,0,0,43,693,0,NULL,NULL,KALP
Barrel Racks,JF2266,Barrel Master Puncheon Hot Dip Type A Rolling,SA013,BM_PN_HDG_TYPA,R1452,NULL,,0,0,-1,Barrel Masters,Filmers Warehouse,SA,Wine,40,16,0,-10,6,18/01/2023 0:00,768,0,480,844.5076455,13512.12233,18/01/2023 0:00,22/07/2025 0:00,KALP
Barrel Racks,JF2328,Puncheon Rack,SA013,BR_PN_SH,P14581,NULL,,0,0,-1,Racks,Filmers Warehouse,SA,Wine,40,10,0,0,10,7/10/2022 0:00,0,0,0,347.99,3479.9,7/10/2022 0:00,11/02/2025 0:00,KALP
Barrel Racks,R1000,Standard Barrique Cradle (B size),SA013,,P12496,NULL,,0,0,-1,Racks,Filmers Warehouse,SA,Wine,40,2,0,0,2,8/06/2019 0:00,70,0,0,50,100,8/06/2019 0:00,14/02/2024 0:00,KALP
Barrel Racks,R1000,Standard Barrique Cradle (B size),SA013,,P13101,NULL,,0,0,-1,Racks,Filmers Warehouse,SA,Wine,40,41,0,0,41,20/02/2020 0:00,1435,0,0,50,2050,20/02/2020 0:00,23/05/2025 0:00,KALP
Barrel Racks,R1000,Standard Barrique Cradle (B size),SA013,,P13836,NULL,,0,0,-1,Racks,Filmers Warehouse,SA,Wine,40,134,0,0,134,NULL,4690,0,0,50,6700,22/02/2022 0:00,27/03/2024 0:00,KALP
Barrel Racks,R1001,Standard Universal Cradle (U size),SA013,,P13131,NULL,,0,0,-1,Racks,Filmers Warehouse,SA,Wine,40,42,0,0,42,3/04/2020 0:00,1596,0,0,50,2100,3/04/2020 0:00,28/02/2025 0:00,KALP
Barrel Racks,R1002,Standard Hogshead Cradle (H size),SA013,,P13100,NULL,,0,0,-1,Racks,Filmers Warehouse,SA,Wine,40,167,0,0,167,31/01/2020 0:00,6680,0,0,50,8350,31/01/2020 0:00,27/05/2025 0:00,KALP
Barrel Racks,R1003,Puncheon Cradle (P size),SA013,,NULL,NULL,,0,0,-1,Racks,Filmers Warehouse,SA,Wine,40,0,0,-6,-6,NULL,0,0,252,187.8238827,0,NULL,NULL,KALP
Barrel Racks,R1003,Puncheon Cradle (P size),SA013,,P15176,NULL,,0,0,-1,Racks,Filmers Warehouse,SA,Wine,40,49,0,0,49,8/09/2023 0:00,2058,0,0,187.8238827,9203.37025,8/09/2023 0:00,3/09/2025 0:00,KALP
Barrel Racks,R1003,Puncheon Cradle (P size),SA016,,NULL,NULL,,0,0,-1,Racks,Ezy Transport Solutions,SA,Wine,40,0,208,0,208,NULL,0,8736,0,NULL,0,NULL,NULL,KALP
Barrel Racks,R1003,Puncheon Cradle (P size),WA001,,P15101,NULL,,0,0,-1,Racks,GJ Freight Ltd - Donnybrook,WA,Wine,40,19,0,0,19,8/09/2023 0:00,798,0,0,187.9169969,3570.422941,8/09/2023 0:00,18/03/2025 0:00,KALP
Barrel Racks,R1010,Barrel Turning Tool - Stainless Steel,MEL01,,NULL,NULL,,0,0,-1,Racks,Melbourne Warehouse,VIC,Wine,40,0,0,-1,-1,NULL,0,0,1,NULL,0,NULL,NULL,KALP
Barrel Racks,R1010,Barrel Turning Tool - Stainless Steel,MEL01,,P13100,NULL,,0,0,-1,Racks,Melbourne Warehouse,VIC,Wine,40,3,0,0,3,31/01/2020 0:00,3,0,0,NULL,NULL,31/01/2020 0:00,18/02/2025 0:00,KALP
Bottles,8437,Cork for Magnum 49x28mm,IND02,,NULL,NULL,,1500,0,-1,Cork & Caps,AUS Indent Orders,IND,Wine,77,0,0,-158,-158,NULL,0,0,0,5.14,0,NULL,NULL,KALP
Bottles,8438,Cork for Magnum 49x38mm,IND02,,NULL,NULL,,1500,0,-1,Cork & Caps,AUS Indent Orders,IND,Wine,77,0,0,-15,-15,NULL,0,0,0,18.76,0,NULL,NULL,KALP
Bottles,8864,Stoppers Low Top for 18.2mm Vinolok,VIC01,,P13903A/7500009549,NULL,,1500,0,-1,Cork & Caps,Melbourne,VIC,Wine,77,3360,0,0,3360,24/08/2021 0:00,33.6,0,0,0.53926589,1811.93339,24/08/2021 0:00,23/01/2024 0:00,KALP
Bottles,8890,CARTON A with dividers for 1.5L Burg bottles,SA021,Max diam: 113 mm / Max height: 357 mm,P15465,NULL,,2000,0,-1,Other,JAGS Transport & Haulage,SA,Wine,77,70,0,0,70,15/02/2024 0:00,140,0,0,3.423385961,239.6370173,15/02/2024 0:00,29/08/2025 0:00,KALP
Bottles,8890,CARTON A with dividers for 1.5L Burg bottles,SA021,Max diam: 113 mm / Max height: 357 mm,P16117,NULL,,2000,0,-1,Other,JAGS Transport & Haulage,SA,Wine,77,540,0,0,540,5/09/2025 0:00,1080,0,0,3.423385961,1848.628419,5/09/2025 0:00,5/09/2025 0:00,KALP
Bottles,8891,CARTON B with dividers and inserts 1.5 Brd & Ries,SA021,Max diam: 98 mm / Max height: 492 mm,P15465,NULL,,2000,0,-1,Other,JAGS Transport & Haulage,SA,Wine,77,48,0,-47,1,15/02/2024 0:00,96,0,94,5.263809524,252.6628571,15/02/2024 0:00,28/08/2025 0:00,KALP
Bottles,8891,CARTON B with dividers and inserts 1.5 Brd & Ries,SA021,Max diam: 98 mm / Max height: 492 mm,P16117,NULL,,2000,0,-1,Other,JAGS Transport & Haulage,SA,Wine,77,330,0,0,330,5/09/2025 0:00,660,0,0,5.263809524,1737.057143,5/09/2025 0:00,5/09/2025 0:00,KALP
Bottles,8892,CARTON C with dividers and inserts 1.5L wide & 3L,SA021,Max diam: 138 mm / Max height: 480 mm,P15136,NULL,,2000,0,-1,Other,JAGS Transport & Haulage,SA,Wine,77,7,0,0,7,31/05/2023 0:00,14,0,0,5.229245676,36.60471973,31/05/2023 0:00,26/08/2025 0:00,KALP
